Year,Month,주거용,업무용
2017,1,5818186,15858191
2017,2,5908998,16071033
2017,3,5114346,13945112
2017,4,5350759,12862206
2017,5,4948471,11503854
2017,6,5026250,12078520
2017,7,5736415,13842981
2017,8,6973292,14968181
2017,9,5664935,13324832
2017,10,4994141,11592825
2017,11,5302270,12637353
2017,12,5679295,15871743
2018,1,6136060,17757721
2018,2,6221352,17825772
2018,3,5325911,14555413
2018,4,5452621,13332843
2018,5,5108532,12338899
2018,6,5264769,12970750
2018,7,5871826,14353851
2018,8,8604195,16691676
2018,9,6395701,14240870
2018,10,5125615,11997435
2018,11,5442897,13075968
2018,12,5737751,15410402
2019,1,6246092,17521164
2019,2,6141410,16275727
2019,3,5350982,14161053
2019,4,5603580,13729861
2019,5,5213450,12515413
2019,6,5294324,12861859
2019,7,5609729,14069431
2019,8,7587965,15936587
2019,9,6648797,14501529
2019,10,5415086,12735128
2019,11,5519641,13016946
2019,12,5824352,15443974
2020,1,6260807,16670844
2020,2,6272697,15900526
2020,3,5873037,13991851
2020,4,5928230,12791590
2020,5,5564985,12088758
2020,6,5758492,13021164
2020,7,5986731,13921289
2020,8,7171231,15080828
2020,9,7643034,14482785
2020,10,5598894,12127048
2020,11,5821666,12899099
2020,12,6193771,15091116
2021,1,6939746,17261172
2021,2,6686344,16078830
2021,3,5752803,13874805
2021,4,5909629,13027365
2021,5,5595151,12269031
2021,6,5839039,13193189
2021,7,6764393,14768535
2021,8,9022496,16022092
2021,9,6933290,14177906
2021,10,5908029,12927134
2021,11,5989354,13422487
2021,12,6218112,16184961
2022,1,6859671,17268590
2022,2,6832528,17259071
2022,3,6026915,14995248
2022,4,6097477,13888479
2022,5,5606749,12991262
2022,6,5810430,13916496
2022,7,7335045,15989310
2022,8,8720533,16921085
2022,9,7184447,15055399
2022,10,5864059,13327136
2022,11,5922541,13561024
2022,12,6297175,16265143
